TRACTCE10,GEOID10,CSA2010
151000,24510151000,Dorchester/Ashburton
80700,24510080700,Greenmount East
80500,24510080500,Clifton-Berea
150500,24510150500,Greater Mondawmin
120100,24510120100,North Baltimore/Guilford/Homeland
90900,24510090900,Greenmount East
280301,24510280301,Dickeyville/Franklintown
130803,24510130803,Medfield/Hampden/Woodberry/Remington
130700,24510130700,Medfield/Hampden/Woodberry/Remington
130600,24510130600,Medfield/Hampden/Woodberry/Remington
100100,24510100100,Greenmount East
110100,24510110100,Midtown
270501,24510270501,Harford/Echodale
270302,24510270302,Lauraville
270401,24510270401,Hamilton
120700,24510120700,Medfield/Hampden/Woodberry/Remington
271200,24510271200,North Baltimore/Guilford/Homeland
110200,24510110200,Midtown
271002,24510271002,Greater Govans
280404,24510280404,Allendale/Irvington/S. Hilton
270804,24510270804,Chinquapin Park/Belvedere
260203,24510260203,Cedonia/Frankford
260101,24510260101,Cedonia/Frankford
260102,24510260102,Cedonia/Frankford
90800,24510090800,Midway/Coldstream
90300,24510090300,The Waverlies
270801,24510270801,Loch Raven
120400,24510120400,Greater Charles Village/Barclay
90200,24510090200,Northwood
271001,24510271001,Greater Govans
130200,24510130200,Penn North/Reservoir Hill
140100,24510140100,Midtown
270600,24510270600,Harford/Echodale
270701,24510270701,Harford/Echodale
130100,24510130100,Penn North/Reservoir Hill
270803,24510270803,Loch Raven
280200,24510280200,Howard Park/West Arlington
280302,24510280302,Forest Park/Walbrook
130804,24510130804,Medfield/Hampden/Woodberry/Remington
271101,24510271101,North Baltimore/Guilford/Homeland
271102,24510271102,North Baltimore/Guilford/Homeland
150800,24510150800,Forest Park/Walbrook
270301,24510270301,Lauraville
170100,24510170100,Downtown/Seton Hill
90500,24510090500,The Waverlies
170200,24510170200,Upton/Druid Heights
90600,24510090600,Midway/Coldstream
120300,24510120300,Greater Charles Village/Barclay
120500,24510120500,Midtown
130300,24510130300,Penn North/Reservoir Hill
120600,24510120600,Greater Charles Village/Barclay
100200,24510100200,Oldtown/Middle East
150400,24510150400,Greater Mondawmin
261000,24510261000,Patterson Park North & East
280403,24510280403,Beechfield/Ten Hills/West Hills
10400,24510010400,Canton
250303,24510250303,Morrell Park/Violetville
260303,24510260303,Claremont/Armistead
200701,24510200701,Allendale/Irvington/S. Hilton
272003,24510272003,Cross-Country/Cheswolde
70200,24510070200,Madison/East End
280102,24510280102,Howard Park/West Arlington
151200,24510151200,Southern Park Heights
260900,24510260900,Highlandtown
200400,24510200400,Southwest Baltimore
261100,24510261100,Highlandtown
200500,24510200500,Southwest Baltimore
250103,24510250103,Morrell Park/Violetville
260301,24510260301,Belair-Edison
200600,24510200600,Allendale/Irvington/S. Hilton
130806,24510130806,Medfield/Hampden/Woodberry/Remington
270702,24510270702,Harford/Echodale
180200,24510180200,Poppleton/The Terraces/Hollins Market
190100,24510190100,Southwest Baltimore
270805,24510270805,Chinquapin Park/Belvedere
200200,24510200200,Southwest Baltimore
150702,24510150702,Greater Mondawmin
270402,24510270402,Hamilton
250206,24510250206,Morrell Park/Violetville
150701,24510150701,Greater Mondawmin
151100,24510151100,Dorchester/Ashburton
40100,24510040100,Downtown/Seton Hill
270101,24510270101,Lauraville
270200,24510270200,Lauraville
190200,24510190200,Southwest Baltimore
271501,24510271501,Mount Washington/Coldspring
210100,24510210100,Washington Village/Pigtown
180300,24510180300,Poppleton/The Terraces/Hollins Market
180100,24510180100,Poppleton/The Terraces/Hollins Market
150100,24510150100,Sandtown-Winchester/Harlem Park
200300,24510200300,Southwest Baltimore
200100,24510200100,Southwest Baltimore
90700,24510090700,Midway/Coldstream
190300,24510190300,Southwest Baltimore
90400,24510090400,The Waverlies
200702,24510200702,Allendale/Irvington/S. Hilton
250500,24510250500,Brooklyn/Curtis Bay/Hawkins Point
280401,24510280401,Beechfield/Ten Hills/West Hills
160801,24510160801,Edmondson Village
